"time","pointMass.r_0[1]","pointMass.r_0[2]","pointMass.r_0[3]"
6.592,0.2781553290459601,0.2290575001506029,0.5775786138252756
6.594,0.2781997870019749,0.2290378871409756,0.577564979345433
6.596,0.2782444479144636,0.2290182597939976,0.5775512483632436
6.598,0.2782893106012347,0.2289986169479478,0.5775374218535568
6.6,0.2783343738704613,0.2289789574261623,0.5775235008018315
6.602,0.2783796365207624,0.2289592800371617,0.5775094862040532
6.604,0.2784250973412859,0.228939583574779,0.5774953790666545
6.606,0.2784707551117895,0.2289198668182859,0.5774811804064311
6.608,0.2785166086027219,0.2289001285325201,0.5774668912504602
6.61,0.2785626565753059,0.2288803674680128,0.5774525126360197
6.612,0.2786088977816187,0.2288605823611152,0.5774380456105048
6.614,0.27865533110633,0.2288407721909973,0.577423491061185
6.616,0.2787019558894238,0.2288209367648547,0.5774088493274938
6.618,0.2787487703026768,0.2288010737738574,0.5773941221513361
6.62,0.2787957730835449,0.228781181937261,0.5773793105943226
6.622,0.2788429629619813,0.2287612599630162,0.5773644157262837
6.624,0.2788903386605492,0.2287413065479531,0.5773494386251503
6.626,0.2789378988945339,0.2287213203779638,0.5773343803768318
6.628,0.2789856423720557,0.2287013001281863,0.577319242075098
6.63,0.2790335677941821,0.2286812444631877,0.5773040248214577
6.632,0.2790816738550411,0.2286611520371474,0.5772887297250396
6.634,0.2791299592419322,0.2286410214940409,0.5772733579024719
6.636,0.2791784226354409,0.2286208514678227,0.577257910477762
6.638,0.2792270627095486,0.2286006405826097,0.5772423885821752
6.64,0.2792758781317476,0.2285803874528646,0.577226793354117
6.642,0.2793248675631515,0.2285600906835789,0.5772111259390095
6.644,0.2793740296586082,0.2285397488704562,0.5771953874891731
6.646,0.2794233630668126,0.2285193606000957,0.5771795791637058
6.648,0.279472866430418,0.2284989244501747,0.5771637021283612
6.65,0.2795225383861492,0.2284784389896325,0.5771477575554298
6.652,0.2795723778511331,0.2284579033119006,0.5771317462739597
6.654,0.2796223836204885,0.22843731628546,0.5771156692613101
6.656,0.2796725540155905,0.2284166758987246,0.5770995280729402
6.658,0.2797228876675371,0.2283959807191228,0.5770833238853129
6.66,0.2797733832030395,0.2283752293080898,0.5770670578796188
6.662,0.2798240392445586,0.2283544202212971,0.5770507312416226
6.664,0.2798748544104423,0.2283335520088808,0.5770343451615146
6.666,0.279925827315061,0.2283126232156702,0.5770179008337564
6.668,0.2799769565689443,0.2282916323814168,0.5770013994569304
6.67,0.2800282407789175,0.2282705780410225,0.5769848422335881
6.672,0.280079678548238,0.2282494587247687,0.5769682303700979
6.674,0.2801312684767309,0.2282282729585444,0.576951565076493
6.676,0.2801830091609258,0.2282070192640745,0.576934847566319
6.678,0.2802348991941925,0.2281856961591495,0.5769180790564825
6.68,0.280286937166878,0.2281643021578521,0.5769012607670986
6.682,0.280339121666441,0.228142835770787,0.5768843939213375
6.684,0.2803914512775892,0.2281212955053089,0.5768674797452735
6.686,0.2804439245824149,0.2280996798657504,0.5768505194677316
6.688,0.2804965401605304,0.2280779873536507,0.5768335143201343
6.69,0.2805492969101314,0.2280562170941202,0.5768164651327035
6.692,0.2806021932983533,0.2280343673732522,0.5767993732772871
6.694,0.2806552277958809,0.2280124364859886,0.5767822401208292
6.696,0.2807083989855133,0.2279904229479047,0.5767650668888175
6.698,0.2807617054489226,0.2279683252742389,0.5767478548077211
6.7,0.2808151457668058,0.2279461419801538,0.5767306051048164
6.702,0.2808687185190382,0.2279238715809976,0.5767133190080138
6.704,0.2809224222848244,0.2279015125925636,0.5766959977456799
6.706,0.2809762556428511,0.2278790635313516,0.5766786425464655
6.708,0.2810302171714394,0.2278565229148287,0.5766612546391293
6.71,0.2810843054486958,0.2278338892616888,0.5766438352523624
6.712,0.2811385190526657,0.2278111610921143,0.576626385614614
6.714,0.2811928565614839,0.227788336928036,0.5766089069539154
6.716,0.2812473165535272,0.2277654152933935,0.5765914004977049
6.718,0.2813018976075664,0.2277423947143956,0.5765738674726518
6.72,0.2813565983029175,0.227719273719781,0.5765563091044821
6.722,0.2814114172195934,0.2276960508410779,0.5765387266177997
6.724,0.2814663529384559,0.2276727246128651,0.5765211212359141
6.726,0.2815214040413676,0.2276492935730317,0.5765034941806626
6.728,0.2815765693306214,0.2276257567472785,0.5764858463739273
6.73,0.2816318472237448,0.2276021123125808,0.5764681792609452
6.732,0.2816872363089976,0.2275783588238166,0.576450494054688
6.734,0.281742735179521,0.227554494847449,0.5764327919614926
